objs,copyNew,call,processArgument,fonte_oracolo,oracolo,nota
null,true,null,--,ipotesi,eccezione (tipo non specificato),"non c'e' nulla da importare, eccezione assunta"
null,true,non null,azione,ipotesi,eccezione (tipo non specificato),il codice azione non ha effetto noto: resta l'eccezione
null,true,non null,eccezione,inferenza,eccezione propagata da attachAll,l'eccezione di processArgument si propaga
null,false,null,--,ipotesi,eccezione (tipo non specificato),"non c'e' nulla da importare, eccezione assunta"
null,false,non null,azione,ipotesi,eccezione (tipo non specificato),il codice azione non ha effetto noto: resta l'eccezione
null,false,non null,eccezione,inferenza,eccezione propagata da attachAll,l'eccezione di processArgument si propaga
vuota,true,null,--,inferenza,array vuoto,@return al plurale: si assume un array vuoto
vuota,true,non null,azione,ipotesi,array vuoto,il codice azione non ha effetto noto: resta un array vuoto
vuota,true,non null,eccezione,inferenza,eccezione propagata da attachAll,l'eccezione di processArgument si propaga
vuota,false,null,--,inferenza,array vuoto,@return al plurale: si assume un array vuoto
vuota,false,non null,azione,ipotesi,array vuoto,il codice azione non ha effetto noto: resta un array vuoto
vuota,false,non null,eccezione,inferenza,eccezione propagata da attachAll,l'eccezione di processArgument si propaga
un elemento precedentemente detached,true,null,--,diretto,istanza persistente esistente con le modifiche mergiate,documentato: ramo merge esplicito
un elemento precedentemente detached,true,non null,azione,ipotesi,istanza persistente esistente con le modifiche mergiate,il codice azione non ha effetto noto: il risultato non cambia
un elemento precedentemente detached,true,non null,eccezione,inferenza,eccezione propagata da attachAll,l'eccezione di processArgument si propaga
un elemento precedentemente detached,false,null,--,diretto,istanza persistente esistente con le modifiche mergiate,documentato: ramo merge esplicito
un elemento precedentemente detached,false,non null,azione,ipotesi,istanza persistente esistente con le modifiche mergiate,il codice azione non ha effetto noto: il risultato non cambia
un elemento precedentemente detached,false,non null,eccezione,inferenza,eccezione propagata da attachAll,l'eccezione di processArgument si propaga
un elemento nuovo,true,null,--,diretto,"istanza persistita come nuova, copia dell'originale",documentato: ramo nuovo + copyNew
un elemento nuovo,true,non null,azione,ipotesi,"istanza persistita come nuova, copia dell'originale",il codice azione non ha effetto noto: il risultato non cambia
un elemento nuovo,true,non null,eccezione,inferenza,eccezione propagata da attachAll,l'eccezione di processArgument si propaga
un elemento nuovo,false,null,--,diretto,"istanza persistita come nuova, non copiata",documentato: ramo nuovo + copyNew
un elemento nuovo,false,non null,azione,ipotesi,"istanza persistita come nuova, non copiata",il codice azione non ha effetto noto: il risultato non cambia
un elemento nuovo,false,non null,eccezione,inferenza,eccezione propagata da attachAll,l'eccezione di processArgument si propaga
un elemento gia' gestito da questo broker,true,null,--,ipotesi,comportamento non determinato dai due rami documentati,"nessuno dei due rami lo copre: si assume un merge, senza duplicazione"
un elemento gia' gestito da questo broker,true,non null,azione,ipotesi,comportamento non determinato dai due rami documentati,il codice azione non ha effetto noto: il risultato non cambia
un elemento gia' gestito da questo broker,true,non null,eccezione,inferenza,eccezione propagata da attachAll,l'eccezione di processArgument si propaga
un elemento gia' gestito da questo broker,false,null,--,ipotesi,comportamento non determinato dai due rami documentati,"nessuno dei due rami lo copre: si assume un merge, senza duplicazione"
un elemento gia' gestito da questo broker,false,non null,azione,ipotesi,comportamento non determinato dai due rami documentati,il codice azione non ha effetto noto: il risultato non cambia
un elemento gia' gestito da questo broker,false,non null,eccezione,inferenza,eccezione propagata da attachAll,l'eccezione di processArgument si propaga
un elemento non valido,true,null,--,ipotesi,eccezione (tipo non specificato),"istanza marcata cancellata (PDELETED): comportamento non documentato, eccezione assunta"
un elemento non valido,true,non null,azione,ipotesi,eccezione (tipo non specificato),il codice azione non ha effetto noto: resta l'eccezione
un elemento non valido,true,non null,eccezione,inferenza,eccezione propagata da attachAll,l'eccezione di processArgument si propaga
un elemento non valido,false,null,--,ipotesi,eccezione (tipo non specificato),"istanza marcata cancellata (PDELETED): comportamento non documentato, eccezione assunta"
un elemento non valido,false,non null,azione,ipotesi,eccezione (tipo non specificato),il codice azione non ha effetto noto: resta l'eccezione
un elemento non valido,false,non null,eccezione,inferenza,eccezione propagata da attachAll,l'eccezione di processArgument si propaga
elementi misti (un valido e un non valido),true,null,--,ipotesi,eccezione (tipo non specificato),atomicita' non documentata: si assume che fallisca come con un solo elemento non valido
elementi misti (un valido e un non valido),true,non null,azione,ipotesi,eccezione (tipo non specificato),il codice azione non ha effetto noto: resta l'eccezione
elementi misti (un valido e un non valido),true,non null,eccezione,inferenza,eccezione propagata da attachAll,l'eccezione di processArgument si propaga
elementi misti (un valido e un non valido),false,null,--,ipotesi,eccezione (tipo non specificato),atomicita' non documentata: si assume che fallisca come con un solo elemento non valido
elementi misti (un valido e un non valido),false,non null,azione,ipotesi,eccezione (tipo non specificato),il codice azione non ha effetto noto: resta l'eccezione
elementi misti (un valido e un non valido),false,non null,eccezione,inferenza,eccezione propagata da attachAll,l'eccezione di processArgument si propaga
