pc,call,fonte_oracolo,oracolo,nota
null,null,ipotesi,nessun effetto,analogia altri metodi
null,azione (ACT_NONE),osservazione,nessuna eccezione,convenzione lock/detachAll
null,azione (ACT_CASCADE),osservazione,nessuna eccezione,idem
null,azione (ACT_RUN),osservazione,nessuna eccezione,idem
null,lancia eccezione,ipotesi,eccezione non propagata,pc null intercettato
non gestito,null,osservazione,nessuna eccezione,analogia pc null
non gestito,azione (ACT_NONE),osservazione,nessuna eccezione,idem
non gestito,azione (ACT_CASCADE),osservazione,nessuna eccezione,analogia pc null
non gestito,azione (ACT_RUN),osservazione,nessuna eccezione,analogia pc null
non gestito,lancia eccezione,inferenza,eccezione propagata,processArgument invocato presto
gestito non persistito,null,diretto,nessuna eccezione,Javadoc diretto
gestito non persistito,azione (ACT_NONE),osservazione,nessuna eccezione,azioni equivalenti
gestito non persistito,azione (ACT_CASCADE),osservazione,nessuna eccezione,idem
gestito non persistito,azione (ACT_RUN),osservazione,nessuna eccezione,idem
gestito non persistito,lancia eccezione,diretto,eccezione propagata,coerente OpCallbacks classe
gestito persistito,null,diretto,nessuna eccezione,Javadoc diretto
gestito persistito,azione (ACT_NONE),osservazione,nessuna eccezione,azioni equivalenti
gestito persistito,azione (ACT_CASCADE),osservazione,nessuna eccezione,idem
gestito persistito,azione (ACT_RUN),osservazione,nessuna eccezione,idem
gestito persistito,lancia eccezione,diretto,eccezione propagata,coerente OpCallbacks classe
