stato_broker,call,flush,transazione,fonte_oracolo,oracolo,nota
senza istanze gestite,null,true,non attiva,ipotesi,nessun effetto,caso base
senza istanze gestite,null,true,attiva,ipotesi,nessun effetto,transazione esplicita
senza istanze gestite,null,false,non attiva,ipotesi,nessun effetto,idem
senza istanze gestite,null,false,attiva,ipotesi,nessun effetto,idem
senza istanze gestite,non null,true,non attiva,osservazione,callback mai invocato,nessuna istanza tracciata
senza istanze gestite,non null,true,attiva,osservazione,callback mai invocato,idem
senza istanze gestite,non null,false,non attiva,osservazione,callback mai invocato,idem
senza istanze gestite,non null,false,attiva,osservazione,callback mai invocato,idem
con istanza gestita,null,false,attiva,osservazione,InvalidStateException PNew,istanza mai flushata
con istanza gestita,non null,false,attiva,osservazione,InvalidStateException PNew,callback mai invocato
con istanza gestita,null/non null,true,attiva,non implementato,non determinato,tuple non distinte
