GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OpenJPA Kernel,org.apache.openjpa.event,DynamicTCPRemoteCommitProvider.TcpAddressesUpdater,183,0,18,0,34,0,13,0,4,0
OpenJPA Kernel,org.apache.openjpa.event,LifecycleEventManager,1079,7,269,0,253,2,163,1,22,1
OpenJPA Kernel,org.apache.openjpa.event,ExceptionOrphanedKeyAction,16,0,0,0,4,0,3,0,3,0
OpenJPA Kernel,org.apache.openjpa.event,RemoteCommitEventManager,322,0,64,0,97,0,51,0,19,0
OpenJPA Kernel,org.apache.openjpa.event,DynamicTCPRemoteCommitProvider,42,0,0,0,14,0,5,0,5,0
OpenJPA Kernel,org.apache.openjpa.event,BrokerFactoryEventManager,29,0,0,0,11,0,3,0,3,0
OpenJPA Kernel,org.apache.openjpa.event,AbstractRemoteCommitProvider,64,0,8,0,16,0,11,0,7,0
OpenJPA Kernel,org.apache.openjpa.event,AbstractTransactionListener,40,0,0,0,20,0,11,0,11,0
OpenJPA Kernel,org.apache.openjpa.event,NoneOrphanedKeyAction,5,0,0,0,2,0,2,0,2,0
OpenJPA Kernel,org.apache.openjpa.event,LogOrphanedKeyAction,116,0,20,0,28,0,20,0,8,0
OpenJPA Kernel,org.apache.openjpa.event,MethodLifecycleCallbacks,241,0,38,0,52,0,31,0,12,0
OpenJPA Kernel,org.apache.openjpa.event,SingleJVMRemoteCommitProvider,39,0,4,0,13,0,6,0,4,0
OpenJPA Kernel,org.apache.openjpa.event,BeanLifecycleCallbacks,127,0,8,0,29,0,11,0,7,0
OpenJPA Kernel,org.apache.openjpa.event,TCPRemoteCommitProvider.TCPPortListener.ReceiveSocketHandler,253,0,30,0,57,0,20,0,5,0
OpenJPA Kernel,org.apache.openjpa.event,AbstractLifecycleListener,76,0,0,0,38,0,20,0,20,0
OpenJPA Kernel,org.apache.openjpa.event,TCPRemoteCommitProvider.HostAddress.SocketPoolableObjectFactory,102,0,4,0,15,0,6,0,4,0
OpenJPA Kernel,org.apache.openjpa.event,TCPRemoteCommitProvider.TCPPortListener,283,0,28,0,77,0,20,0,6,0
OpenJPA Kernel,org.apache.openjpa.event,TCPRemoteCommitProvider.BroadcastQueue,48,0,6,0,15,0,8,0,5,0
OpenJPA Kernel,org.apache.openjpa.event,BrokerFactoryEvent,14,0,0,0,5,0,3,0,3,0
OpenJPA Kernel,org.apache.openjpa.event,RemoteCommitEvent,239,0,36,0,55,0,30,0,12,0
OpenJPA Kernel,org.apache.openjpa.event,JMSRemoteCommitProvider,344,0,38,0,94,0,33,0,14,0
OpenJPA Kernel,org.apache.openjpa.event,TransactionEvent,50,0,8,0,12,0,10,0,6,0
OpenJPA Kernel,org.apache.openjpa.event,TransactionEventManager,150,27,45,3,40,7,31,4,3,4
OpenJPA Kernel,org.apache.openjpa.event,LifecycleEventManager.ListenerList,206,0,30,0,52,0,21,0,6,0
OpenJPA Kernel,org.apache.openjpa.event,TCPRemoteCommitProvider.BroadcastWorkerThread,49,0,6,0,17,0,7,0,4,0
OpenJPA Kernel,org.apache.openjpa.event,TCPRemoteCommitProvider,514,0,36,0,131,0,38,0,20,0
OpenJPA Kernel,org.apache.openjpa.event,LifecycleEvent,114,0,0,0,9,0,5,0,5,0
OpenJPA Kernel,org.apache.openjpa.event,TCPRemoteCommitProvider.HostAddress,325,0,30,0,87,0,28,0,13,0
OpenJPA Kernel,org.apache.openjpa.event,JMSRemoteCommitProvider.new MessageListener() {...},114,0,16,0,27,0,10,0,2,0
OpenJPA Kernel,org.apache.openjpa.instrumentation.jmx,PreparedQueryCacheJMXInstrument,80,0,4,0,23,0,10,0,8,0
OpenJPA Kernel,org.apache.openjpa.instrumentation.jmx,QueryCacheJMXInstrument,83,0,4,0,24,0,10,0,8,0
OpenJPA Kernel,org.apache.openjpa.instrumentation.jmx,DataCacheJMXInstrument,115,0,10,0,32,0,13,0,8,0
OpenJPA Kernel,org.apache.openjpa.instrumentation.jmx,JMXProvider,275,0,34,0,65,0,27,0,10,0
OpenJPA Kernel,org.apache.openjpa.datacache,DataCacheStoreManager.PCDataHolder,9,0,0,0,4,0,1,0,1,0
OpenJPA Kernel,org.apache.openjpa.datacache,ClearableScheduler.Schedule,358,0,30,0,66,0,20,0,5,0
OpenJPA Kernel,org.apache.openjpa.datacache,TypeBasedCacheDistributionPolicy,85,0,14,0,21,0,14,0,7,0
OpenJPA Kernel,org.apache.openjpa.datacache,ExpirationEvent,16,0,0,0,6,0,3,0,3,0
OpenJPA Kernel,org.apache.openjpa.datacache,ClearableScheduler,214,0,20,0,59,0,20,0,10,0
OpenJPA Kernel,org.apache.openjpa.datacache,QueryCacheStoreQuery.QueryCacheExecutor,391,0,28,0,71,0,41,0,27,0
OpenJPA Kernel,org.apache.openjpa.datacache,DataCacheMode,33,0,0,0,6,0,1,0,1,0
OpenJPA Kernel,org.apache.openjpa.datacache,DataCachePCDataGenerator,847,0,8,0,152,0,14,0,10,0
