pc,call,fonte_oracolo,oracolo,nota
null,null,osservazione,nessun effetto,coerente lock 4-arg
null,azione (ACT_NONE),osservazione,nessun effetto,idem
null,azione (ACT_CASCADE),osservazione,nessun effetto,idem
null,azione (ACT_RUN),osservazione,nessun effetto,idem
null,lancia eccezione,osservazione,eccezione non propagata,pc null intercettato
non gestito,null,osservazione,nessun effetto,riusa lock 4-arg
non gestito,azione (ACT_NONE),osservazione,nessun effetto,idem
non gestito,azione (ACT_CASCADE),osservazione,nessun effetto,idem
non gestito,azione (ACT_RUN),osservazione,nessun effetto,idem
non gestito,lancia eccezione,inferenza,eccezione propagata,processArgument invocato presto
gestito non persistito,null,diretto,lock applicato,Javadoc diretto
gestito non persistito,azione (ACT_NONE),osservazione,nessun effetto,solo ACT_RUN attiva
gestito non persistito,azione (ACT_CASCADE),osservazione,nessun effetto,idem
gestito non persistito,azione (ACT_RUN),diretto,lock applicato,unico valore efficace
gestito non persistito,lancia eccezione,diretto,eccezione propagata,coerente OpCallbacks classe
gestito persistito,null,diretto,lock applicato,Javadoc diretto
gestito persistito,azione (ACT_NONE),osservazione,nessun effetto,solo ACT_RUN attiva
gestito persistito,azione (ACT_CASCADE),osservazione,nessun effetto,idem
gestito persistito,azione (ACT_RUN),diretto,lock applicato,unico valore efficace
gestito persistito,lancia eccezione,diretto,eccezione propagata,coerente OpCallbacks classe
