pc,id,cascade,call,processArgument,fonte_oracolo,oracolo,nota
null,null,--,null,--,ipotesi,eccezione (tipo non specificato),"pc null: niente da persistere, eccezione assunta"
null,null,--,non null,azione,ipotesi,eccezione (tipo non specificato),il codice azione non ha effetto noto: resta l'eccezione
null,null,--,non null,eccezione,inferenza,eccezione propagata da persist,l'eccezione di processArgument si propaga
null,non null,--,null,--,ipotesi,eccezione (tipo non specificato),"pc null: niente da persistere, eccezione assunta"
null,non null,--,non null,azione,ipotesi,eccezione (tipo non specificato),il codice azione non ha effetto noto: resta l'eccezione
null,non null,--,non null,eccezione,inferenza,eccezione propagata da persist,l'eccezione di processArgument si propaga
non gestito,null,presente,null,--,diretto,"state manager non-null, id di default assegnato; istanza correlata (CASCADE_IMMEDIATE) non cascata, resta non gestita","istanza non gestita: comportamento descritto direttamente in persist(), id di default; niente cascata immediata, documentato esplicitamente in persist()"
non gestito,null,presente,non null,azione,ipotesi,"state manager non-null, id di default assegnato; istanza correlata (CASCADE_IMMEDIATE) non cascata, resta non gestita",il codice azione non ha effetto noto: il risultato non cambia
non gestito,null,presente,non null,eccezione,inferenza,eccezione propagata da persist,l'eccezione di processArgument si propaga
non gestito,null,assente,null,--,diretto,"state manager non-null, id di default assegnato","istanza non gestita: comportamento descritto direttamente in persist(), id di default"
non gestito,null,assente,non null,azione,ipotesi,"state manager non-null, id di default assegnato",il codice azione non ha effetto noto: il risultato non cambia
non gestito,null,assente,non null,eccezione,inferenza,eccezione propagata da persist,l'eccezione di processArgument si propaga
non gestito,non null,presente,null,--,diretto,"state manager non-null, con l'id specificato assegnato; istanza correlata (CASCADE_IMMEDIATE) non cascata, resta non gestita","istanza non gestita: comportamento descritto direttamente in persist(), id specificato usato; niente cascata immediata, documentato esplicitamente in persist()"
non gestito,non null,presente,non null,azione,ipotesi,"state manager non-null, con l'id specificato assegnato; istanza correlata (CASCADE_IMMEDIATE) non cascata, resta non gestita",il codice azione non ha effetto noto: il risultato non cambia
non gestito,non null,presente,non null,eccezione,inferenza,eccezione propagata da persist,l'eccezione di processArgument si propaga
non gestito,non null,assente,null,--,diretto,"state manager non-null, con l'id specificato assegnato","istanza non gestita: comportamento descritto direttamente in persist(), id specificato usato"
non gestito,non null,assente,non null,azione,ipotesi,"state manager non-null, con l'id specificato assegnato",il codice azione non ha effetto noto: il risultato non cambia
non gestito,non null,assente,non null,eccezione,inferenza,eccezione propagata da persist,l'eccezione di processArgument si propaga
gestito,null,presente,null,--,ipotesi,"nessuna modifica: pc resta quello gia' gestito, id ignorato","gia' gestito: nessuna fonte lo documenta, si assume un no-op (id non applicabile a un'istanza che ne ha gia' una)"
gestito,null,presente,non null,azione,ipotesi,"nessuna modifica: pc resta quello gia' gestito, id ignorato",il codice azione non ha effetto noto: il risultato non cambia
gestito,null,presente,non null,eccezione,inferenza,eccezione propagata da persist,l'eccezione di processArgument si propaga
gestito,null,assente,null,--,ipotesi,"nessuna modifica: pc resta quello gia' gestito, id ignorato","gia' gestito: nessuna fonte lo documenta, si assume un no-op (id non applicabile a un'istanza che ne ha gia' una)"
gestito,null,assente,non null,azione,ipotesi,"nessuna modifica: pc resta quello gia' gestito, id ignorato",il codice azione non ha effetto noto: il risultato non cambia
gestito,null,assente,non null,eccezione,inferenza,eccezione propagata da persist,l'eccezione di processArgument si propaga
gestito,non null,presente,null,--,ipotesi,"nessuna modifica: pc resta quello gia' gestito, id ignorato","gia' gestito: nessuna fonte lo documenta, si assume un no-op (id non applicabile a un'istanza che ne ha gia' una)"
gestito,non null,presente,non null,azione,ipotesi,"nessuna modifica: pc resta quello gia' gestito, id ignorato",il codice azione non ha effetto noto: il risultato non cambia
gestito,non null,presente,non null,eccezione,inferenza,eccezione propagata da persist,l'eccezione di processArgument si propaga
gestito,non null,assente,null,--,ipotesi,"nessuna modifica: pc resta quello gia' gestito, id ignorato","gia' gestito: nessuna fonte lo documenta, si assume un no-op (id non applicabile a un'istanza che ne ha gia' una)"
gestito,non null,assente,non null,azione,ipotesi,"nessuna modifica: pc resta quello gia' gestito, id ignorato",il codice azione non ha effetto noto: il risultato non cambia
gestito,non null,assente,non null,eccezione,inferenza,eccezione propagata da persist,l'eccezione di processArgument si propaga
